price,bedrooms,bathrooms,addr,lat,lng
"5,255",2,2,505 W 54th St,40.7675772,-73.9902156
"12,750",3,2,435 W 31st St,40.7522644,-73.9989182
"5,500",2,2,175 E 96th St,40.7856733,-73.9495341
"5,828",2,2,515 W 38th St,40.7575318,-73.9982555
"5,690",2,2,151 E 31st St #155,40.74441,-73.9802609
"5,755",2,2,155 E 29th St,40.743009,-73.9806384
"10,800",3,2,554 W 54th St,40.7679276,-73.9917082
"10,902",3,3,189 W 89th St,40.7896887,-73.9732548
"5,295",2,2,43 W 16th St,40.7385443,-73.9949946
"4,560",2,2,389 S End Ave,40.7114632,-74.0159381
"8,775",3,2,420 E 54th St,40.7556836,-73.9634963
"7,950",2,2,60 Riverside Blvd,40.7745737,-73.9909786
"3,450",1,1,150 E 34th St,40.7459438,-73.979276
"2,595",2,1,512 W 136th St,40.8198351,-73.9528643
"9,480",3,2,15 Cliff St,40.7084448,-74.0056664
"4,089",2,2,101 W 90th St,40.7892983,-73.9705347
"4,250",2,2,10 Rutgers St,40.7137502,-73.9903948
"16,795",4,3,200 E 82nd St,40.7759231,-73.9557062
"5,600",3,2,70 W 95th St,40.7917096,-73.9676515
"39,000",4,4,151 E 80th St,40.7756884,-73.9581539
"9,874",2,2,55 W 26th St,40.7449596,-73.990914
"10,140",4,4,752 W End Ave,40.7957017,-73.9725684
"6,000",2,2,270 Park Ave S,40.7391917,-73.9873264
        Contact for price/mo     ,3,2,1556 York Ave,40.7733849,-73.9486528
"8,657",2,2,160 W 24th St,40.7444883,-73.9949465
"6,000",4,2,636 E 11th St,40.7266011,-73.9780159
"4,900",2,1,455 Park Ave S,40.744896,-73.9826387
"6,000",2,1,127 4th Ave,40.7331655,-73.9897102
"6,943",2,2,525 W 52nd St,40.7666681,-73.9920612
        Contact for price/mo     ,3,2,1561 York Ave,40.7739049,-73.9490472
"2,800",1,1,425 E 74th St,40.7688133,-73.9538888
"5,700",3,2,153 E 32nd St,40.7448978,-73.9797545
"6,290",1,1,620 W 42nd St,40.7605599,-73.9990525
"7,250",2,2,309 5th Ave,40.7467042,-73.9853132
"7,325",2,2,155 W 68th St,40.7761347,-73.9827652
"11,970",2,1,18 W 48th St,40.7575257,-73.9793198
"6,290",2,2,650 W 42nd St,40.7610401,-74.0002238
"14,070",3,1,3 Mitchell Pl,40.753401,-73.9661737
"7,470",1,1,229 Chrystie St,40.7235028,-73.9918932
"11,070",2,1,70 W 45th St,40.7563079,-73.9822193
"6,711",3,2,888 Main St,40.7690073,-73.9439983
"3,150",1,1,520 W 48th St,40.7638295,-73.99406
"2,900",1,1,265 Lafayette St,40.7233607,-73.9964476
"3,300",2,1,158 Stanton St,40.7205081,-73.9849619
"11,070",3,1,1600 Broadway,40.7601777,-73.9843051
"3,095",1,1,95 Christopher St,40.7334252,-74.0046859
"3,000",1,1,1435 York Ave,40.7697054,-73.9519342
"14,500",3,3,20 W 64th St,40.7715807,-73.9811807
"2,800",1,1,223 Sullivan St,40.7294857,-73.9995626
"19,332",2,2,10 Hanover Sq,40.7046002,-74.0089305
"18,000",2,2,80 Columbus Cir #68E,40.7690781,-73.9829538
"20,203",3,2,401 E 34th St,40.7436072,-73.972485
"4,195",3,1,129 Orchard St,40.7196907,-73.989708
"2,450",1,1,42 Bank St #43,-36.8900739,145.2267922
"12,495",5,3,80 Madison Ave,40.7442587,-73.9858608
"10,000",4,4,308 W 48th St #2,40.7611344,-73.9876816
"7,500",1,1,88 Lexington Ave #1101,40.7417244,-73.9835174
"2,150",1,1,340 Haven Ave #5A,40.8510826,-73.9416242
"4,000",1,1,400 E 70th St #1906,40.7661506,-73.9568006
"3,550",1,1,333 Rector Pl #301,40.7096944,-74.0173131
"6,000",2,2,343 E 74th St #16D,40.769506,-73.955786
"16,500",3,3,240 Riverside Blvd #21B,40.7803088,-73.986995
"3,380",1,1,301 E 61st St #5C,40.7618178,-73.9631515
